player_id,name,position,current_team,jersey_number
1408,Le'Veon Bell,RB,TB,6
1284,Lance Dunbar,RB,,25
7918,A.J. Rose,RB,,24
8809,Aaron Shampklin,RB,,48
6918,Salvon Ahmed,RB,IND,36
11584,Bucky Irving,RB,TB,7
1195,Doug Martin,RB,,22
11649,Kendall Milton,RB,CIN,36
387,Knowshon Moreno,RB,,28
1914,Dri Archer,RB,,13
12507,Omarion Hampton,RB,LAC,8
11439,Jaleel McLaughlin,RB,DEN,38
5619,Dalyn Dawkins,RB,,28
5122,Boston Scott,RB,,33
355,Brian Leonard,RB,,40
2320,Melvin Gordon,RB,,33
2496,Malcolm Johnson,FB,,0
7258,Luke Sellers,FB,,47
12028,TaMerik Williams,RB,,
3488,D.J. Foster,RB,,37
4909,Duce Staley,RB,,22
1387,Rex Burkhead,RB,,28
5143,Demario Richard,RB,,0
5296,Elijah Wellman,FB,,0
306,DeAngelo Williams,RB,,34
1897,Nikita Whitlock,FB,,49
12121,Deshaun Fenwick,RB,,35
5100,Jordan Wilkins,RB,,30
3453,Josh Ferguson,RB,,36
4385,Kalif Phillips,RB,,34
2193,Darrin Reaves,RB,,24
12459,Player Invalid,RB,,
1517,Theo Riddick,RB,,0
2948,Brandon Cottom,RB,,42
3471,Aaron Green,RB,,36
2297,Glenn Winston,RB,,28
6908,La'Mical Perine,RB,,29
4673,Algernon Brown,FB,,30
8116,Pierre Strong,RB,GB,22
8025,Adam Prentice,FB,DEN,46
2359,Ameer Abdullah,RB,IND,26
103,Matt Forte,RB,,22
788,Dion Lewis,RB,,0
2936,Rasheed Williams,RB,,0
3211,Paul Perkins,RB,,0
7593,Trey Sermon,RB,PIT,37
7614,Darius Clark,RB,,0
6966,Javon Leake,RB,,40
4548,Joel Bouagnon,RB,,34
11579,Audric Estime,RB,NO,30
11572,Player Invalid,RB,,
16,Ray Rice,RB,,27
1293,Jeremy Stewart,RB,,27
5398,Justin Crawford,RB,,0
10861,Xazavian Valladay,RB,,47
5052,Ronald Jones,RB,,32
5995,Justice Hill,RB,BAL,43
133,Greg Jones,RB,,45
11229,Calvin Tyler,RB,,36
8138,James Cook,RB,BUF,4
8194,Jashaun Corbin,RB,,30
7863,JaQuan Hardy,RB,,45
4697,Khalid Abdullah,RB,,0
5550,John David Moore,RB,,43
8136,Rachaad White,RB,TB,1
5809,Ja'Quan Gardner,RB,,38
1353,Mike Gillislee,RB,,0
11998,Emani Bailey,RB,,39
3698,Patrick Skov,FB,,48
1751,Toben Opurum,FB,,45
895,Jordan Todman,RB,,22
12284,Michael Herzog,RB,,
6072,Bruce Anderson,RB,,35
