stat_id,week_id,player_id,game_id,season,week,team,opponent,played_at,was_active,was_played,offensive_snaps,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_catches,receiving_yards,receiving_touchdowns,standard_scoring_fantasy_points,standard_scoring_position_rank,ppr_scoring_fantasy_points,ppr_scoring_position_rank
2025_1_7607,2025_1,7607,202510122,2025,1,ARI,NO,1757221200000,True,False,0,0,0,0,0,0,0,0,0,999,0,999
2025_10_7607,2025_10,7607,202511030,2025,10,ARI,SEA,1762668000000,True,True,8,3,4,0,0,0,0,0,0,62,0,65
2025_11_7607,2025_11,7607,202511101,2025,11,ARI,SF,1763272800000,True,True,33,2,6,0,7,5,22,0,2,49,7,38
2025_12_7607,2025_12,7607,202511201,2025,12,ARI,JAX,1763877600000,True,True,47,5,28,0,3,3,30,0,5,28,8,26
2025_13_7607,2025_13,7607,202511333,2025,13,ARI,TB,1764482400000,True,True,32,5,17,0,6,5,47,0,6,40,11,28
2025_14_7607,2025_14,7607,202511401,2025,14,ARI,LAR,1765087200000,True,True,33,3,13,0,4,2,18,0,3,49,5,44
2025_15_7607,2025_15,7607,202511513,2025,15,ARI,HOU,1765692000000,True,True,53,14,56,0,4,4,38,0,9,25,13,19
2025_16_7607,2025_16,7607,202511601,2025,16,ARI,ATL,1766296800000,True,True,30,11,65,0,2,0,0,0,6,38,6,45
2025_17_7607,2025_17,7607,202511707,2025,17,ARI,CIN,1766901600000,True,True,25,7,29,0,4,2,14,0,4,37,6,38
2025_2_7607,2025_2,7607,202510201,2025,2,ARI,CAR,1757826000000,True,False,0,0,0,0,0,0,0,0,0,999,0,999
2025_3_7607,2025_3,7607,202510331,2025,3,ARI,SF,1758430800000,True,False,0,0,0,0,0,0,0,0,0,999,0,999
2025_4_7607,2025_4,7607,202510401,2025,4,ARI,SEA,1758776400000,True,True,4,1,1,0,0,0,0,0,0,71,0,72
2025_5_7607,2025_5,7607,202510501,2025,5,ARI,TEN,1759640400000,True,True,39,18,51,1,5,5,22,0,13,14,18,9
2025_6_7607,2025_6,7607,202510614,2025,6,ARI,IND,1760245200000,True,True,32,9,34,0,5,2,30,0,6,23,8,27
2025_7_7607,2025_7,7607,202510701,2025,7,ARI,GB,1760850000000,True,True,28,7,11,0,2,2,25,0,3,38,5,38
2025_9_7607,2025_9,7607,202510909,2025,9,ARI,DAL,1762149600000,True,False,0,0,0,0,0,0,0,0,0,999,0,999
